divipola,anio,mes,casos_clasico,casos_grave,municipio,departamento,periodo,temp_mean_c,dewpoint_mean_c,rain_mm_day,soil_water_l1_mean,surface_runoff_mm_day,total_evaporation_mm_day_ecmwf,wind_u_mean_ms,wind_v_mean_ms,solar_radiation_mj_m2_day,casos_grave_lag_1,casos_grave_lag_2,casos_grave_lag_3,casos_grave_lag_4,casos_grave_lag_6,casos_grave_roll3,casos_clasico_lag_1,casos_clasico_lag_2,casos_clasico_lag_3,casos_clasico_lag_4,casos_clasico_lag_6,casos_clasico_roll3,temp_mean_c_lag_1,temp_mean_c_lag_2,temp_mean_c_lag_3,rain_mm_day_lag_1,rain_mm_day_lag_2,rain_mm_day_lag_3,mes_sin,mes_cos,p25,p75,zona_canal,sir,es_endemico,brote,casos_objetivo,objetivo,es_inicio,anio_objetivo,mes_objetivo,p25_objetivo,p75_objetivo,zona_objetivo,brote_lag_1
68001,2025,4,366,0,BUCARAMANGA,SANTANDER,2025-04-01,20.244518562877605,18.4067171053749,3.291510396416732,0.4801374523533298,10.246246771549615,-2.9852237631114606,0.10073189684725183,0.1064679359159027,15.21863817391076,0.0,1.0,2.0,1.0,7.0,3.0,322.0,258.0,323.0,387.0,484.0,903.0,20.04331750357025,19.979342156722407,19.282595208855756,2.902707737213408,5.931258135983726,0.7557430223123898,0.8660254037844387,-0.4999999999999998,59.5,365.5,2,1.6043835616438356,1,1,367.0,1.0,0,2025,5,75.25,314.75,2,1.0
68001,2025,5,367,0,BUCARAMANGA,SANTANDER,2025-05-01,20.075581040510976,18.397153404026973,4.017166882126499,0.48104252859050517,12.09962498105972,-2.6621461503405013,-0.0779309544913725,0.038154881545223604,13.146295070132426,0.0,0.0,1.0,2.0,1.0,1.0,366.0,322.0,258.0,323.0,402.0,946.0,20.244518562877605,20.04331750357025,19.979342156722407,3.291510396416732,2.902707737213408,5.931258135983726,0.49999999999999994,-0.8660254037844387,75.25,314.75,2,1.4349951124144673,1,1,278.0,0.0,0,2025,6,55.5,340.25,2,1.0
68001,2025,6,278,0,BUCARAMANGA,SANTANDER,2025-06-01,19.85902183282409,18.385057705623083,2.0889732911611794,0.48000988991137455,21.593635026707734,-2.682179289813743,0.08590013881576551,0.026574817006252142,12.456629786351705,0.0,0.0,0.0,1.0,1.0,0.0,367.0,366.0,322.0,258.0,387.0,1055.0,20.075581040510976,20.244518562877605,20.04331750357025,4.017166882126499,3.291510396416732,2.902707737213408,1.2246467991473532e-16,-1.0,55.5,340.25,1,1.2233223322332234,1,0,239.0,0.0,0,2025,7,45.25,378.5,1,1.0
68001,2025,7,239,1,BUCARAMANGA,SANTANDER,2025-07-01,19.932168556557695,18.08422589242718,4.2053318983109005,0.48018470612683306,14.359474386324397,-3.120673682393044,-0.07926092177904506,-0.009571075859324972,14.782971062077724,0.0,0.0,0.0,0.0,2.0,0.0,278.0,367.0,366.0,322.0,323.0,1011.0,19.85902183282409,20.075581040510976,20.244518562877605,2.0889732911611794,4.017166882126499,3.291510396416732,-0.4999999999999997,-0.8660254037844388,45.25,378.5,1,1.0111052353252248,1,0,179.0,0.0,0,2025,8,50.5,283.0,1,0.0
68001,2025,8,179,1,BUCARAMANGA,SANTANDER,2025-08-01,19.852135194225045,17.85527634627532,2.7662673288745747,0.477226826702748,9.39012122621293,-3.2522459653061158,-0.05072439796241694,-0.03626282457352168,16.21779103429007,1.0,0.0,0.0,0.0,1.0,1.0,239.0,278.0,367.0,366.0,258.0,884.0,19.932168556557695,19.85902183282409,20.075581040510976,4.2053318983109005,2.0889732911611794,4.017166882126499,-0.8660254037844385,-0.5000000000000004,50.5,283.0,1,0.9161868202175304,1,0,245.0,0.0,0,2025,9,57.5,309.0,1,0.0
68001,2025,9,245,0,BUCARAMANGA,SANTANDER,2025-09-01,19.918208545474577,18.01679888867959,4.279238962864313,0.47761192703914557,13.929079710811456,-2.951637858774249,0.004160774019029399,-0.021095844414394764,15.3912992846916,1.0,1.0,0.0,0.0,0.0,2.0,179.0,239.0,278.0,367.0,322.0,696.0,19.852135194225045,19.932168556557695,19.85902183282409,2.7662673288745747,4.2053318983109005,2.0889732911611794,-1.0,-1.8369701987210297e-16,57.5,309.0,1,1.3587521663778164,1,0,197.0,0.0,0,2025,10,52.25,267.5,1,0.0
68001,2025,10,197,1,BUCARAMANGA,SANTANDER,2025-10-01,19.679708530186076,17.845943695713046,5.73576750697174,0.47765784345566586,7.38273464750753,-2.7991938869808797,0.07328859027158133,0.028512755569520667,14.716080158517563,0.0,1.0,1.0,0.0,0.0,2.0,245.0,179.0,239.0,278.0,366.0,663.0,19.918208545474577,19.852135194225045,19.932168556557695,4.279238962864313,2.7662673288745747,4.2053318983109005,-0.8660254037844386,0.5000000000000001,52.25,267.5,1,1.2424122979897516,1,0,222.0,0.0,0,2025,11,47.0,232.25,1,0.0
68001,2025,11,222,0,BUCARAMANGA,SANTANDER,2025-11-01,19.662773948963153,17.9198109781127,3.072717309195226,0.4783679057878042,13.031274200541766,-2.799013965882928,0.07472312963749374,0.06581787802728765,14.02827016367454,1.0,0.0,1.0,1.0,0.0,2.0,197.0,245.0,179.0,239.0,367.0,621.0,19.679708530186076,19.918208545474577,19.852135194225045,5.73576750697174,4.279238962864313,2.7662673288745747,-0.5000000000000004,0.8660254037844384,47.0,232.25,1,1.5185976913210775,1,0,217.0,1.0,1,2025,12,49.5,158.25,2,0.0
68001,2025,12,217,1,BUCARAMANGA,SANTANDER,2025-12-01,19.459422812002842,17.466812200161137,2.082763437980136,0.48203828112558866,3.510600815751633,-2.9350664391867665,0.07404443934672106,0.07296988559348566,15.445993052070104,0.0,1.0,0.0,1.0,0.0,1.0,222.0,197.0,245.0,179.0,278.0,664.0,19.662773948963153,19.679708530186076,19.918208545474577,3.072717309195226,5.73576750697174,4.279238962864313,-2.4492935982947064e-16,1.0,49.5,158.25,2,1.6385087305332704,1,1,,,,2026,1,53.0,219.25,1,0.0
76001,2024,1,3082,31,CALI,VALLE,2024-01-01,19.852027336098455,16.80669383470155,1.103258639957772,0.3626365462207262,0.23051352660097807,-3.4838109892741045,0.1725187809698704,-0.4438844913758352,19.049027488232042,34.0,12.0,20.0,18.0,14.0,66.0,2451.0,1759.0,1722.0,1790.0,1383.0,5932.0,19.619436461700303,19.394935797517192,19.231084039561303,7.58544574523507,5.747657366007014,7.12264148678523,0.49999999999999994,0.8660254037844387,136.75,838.0,2,4.56550319414869,1,1,3856.0,1.0,0,2024,2,143.75,1146.25,2,1.0
76001,2024,2,3856,29,CALI,VALLE,2024-02-01,19.81612434607386,16.840960554855272,3.0038372209408384,0.3942640779261985,1.002384045979884,-3.3094166355714516,-0.052195804178270765,-0.30617185538030683,17.39539757932515,31.0,34.0,12.0,20.0,16.0,77.0,3082.0,2451.0,1759.0,1722.0,1675.0,7292.0,19.852027336098455,19.619436461700303,19.394935797517192,1.103258639957772,7.58544574523507,5.747657366007014,0.8660254037844386,0.5000000000000001,143.75,1146.25,2,4.773384912959381,1,1,4101.0,1.0,0,2024,3,142.25,1579.5,2,1.0
76001,2024,3,4101,35,CALI,VALLE,2024-03-01,20.13475936984011,17.33029459145665,2.2655872440397555,0.4079121174372868,0.7496325036882943,-3.4997473657634064,0.029236257740279357,-0.37977770208965855,18.127931401028185,29.0,31.0,34.0,12.0,18.0,94.0,3856.0,3082.0,2451.0,1759.0,1790.0,9389.0,19.81612434607386,19.852027336098455,19.619436461700303,3.0038372209408384,1.103258639957772,7.58544574523507,1.0,6.123233995736766e-17,142.25,1579.5,2,5.409398186314922,1,1,4478.0,1.0,0,2024,4,142.0,1192.0,2,1.0
76001,2024,4,4478,38,CALI,VALLE,2024-04-01,19.92016783021667,17.317880244493853,8.603490537773814,0.4149585053166948,2.0708837002537117,-3.232572420436266,-0.09685943807939378,-0.3604365479860866,15.999246619442065,35.0,29.0,31.0,34.0,20.0,95.0,4101.0,3856.0,3082.0,2451.0,1722.0,11039.0,20.13475936984011,19.81612434607386,19.852027336098455,2.2655872440397555,3.0038372209408384,1.103258639957772,0.8660254037844387,-0.4999999999999998,142.0,1192.0,2,6.166982268893097,1,1,5176.0,1.0,0,2024,5,171.75,952.5,2,1.0
76001,2024,5,5176,58,CALI,VALLE,2024-05-01,20.053300422539266,17.626334182878008,8.81276403527197,0.4261039517704697,2.431198822755522,-2.779787973880255,0.06482472826620447,-0.44862372065191214,13.267633837920535,38.0,35.0,29.0,31.0,12.0,102.0,4478.0,4101.0,3856.0,3082.0,1759.0,12435.0,19.92016783021667,20.13475936984011,19.81612434607386,8.603490537773814,2.2655872440397555,3.0038372209408384,0.49999999999999994,-0.8660254037844387,171.75,952.5,2,7.205150513311293,1,1,5026.0,1.0,0,2024,6,171.0,757.75,2,1.0
76001,2024,6,5026,53,CALI,VALLE,2024-06-01,19.419536681896087,16.809664649454053,4.944100552399102,0.4212172993899644,0.9143363776615422,-2.8865782709896184,0.12341737092308733,-0.46337074839619735,14.208476184749648,58.0,38.0,35.0,29.0,34.0,131.0,5176.0,4478.0,4101.0,3856.0,2451.0,13755.0,20.053300422539266,19.92016783021667,20.13475936984011,8.81276403527197,8.603490537773814,2.2655872440397555,1.2246467991473532e-16,-1.0,171.0,757.75,2,8.2040399918384,1,1,3890.0,1.0,0,2024,7,163.25,651.5,2,1.0
76001,2024,7,3890,44,CALI,VALLE,2024-07-01,19.6226939684288,16.43054019699652,1.570749655275584,0.38905781711097953,0.49252042457385037,-3.189560813654205,0.30530280371080665,-0.509574816301668,16.145424778305415,53.0,58.0,38.0,35.0,31.0,149.0,5026.0,5176.0,4478.0,4101.0,3082.0,14680.0,19.419536681896087,20.053300422539266,19.92016783021667,4.944100552399102,8.81276403527197,8.603490537773814,-0.4999999999999997,-0.8660254037844388,163.25,651.5,2,7.063897400976052,1,1,2122.0,1.0,0,2024,8,139.25,667.25,2,1.0
